Taxon,0M1,0M2,0M3,0M4,0M5,1M1,1M2,1M3,1M4,1M5,2M1,2M2,2M3,2M4,2M5
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Unclassified_Rikenellaceae,0,6.61E-05,0,0.000729733,0.000131002,0,0,0.000262312,0,6.55E-05,0.000130976,0.000195389,6.56E-05,0.000392953,0.000457756
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Enhydrobacter,0,0.000198203,0.000131397,0.000132679,0.000131002,0,0.00019676,0,0,0,0,0,0,0,0
k__Bacteria;p__Chloroflexi;c__Gitt-GS-136;o__Unclassified_Gitt-GS-136;f__Unclassified_Gitt-GS-136;g__Unclassified_Gitt-GS-136,0.00013138,0,0.000262795,0,0.000262003,0,0,0,0,0,0,0,0,0,0.000392362
k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cyclobacteriaceae;g__Unclassified_Cyclobacteriaceae,0,0,0,0,0,0,0,0.002098498,0,0,0,0,0,0,0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Yaniellaceae;g__Yaniella,0.00013138,0.000330338,0,0.000597055,0.000393005,0,0,0.000196734,0,0,0,0,0,0,0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dietziaceae;g__Dietzia,0,6.61E-05,0,0.000530715,0,0,0.000131173,0.000590203,0,0,0,0,0.000262381,0,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea,6.57E-05,0.000132135,0.000131397,0.000464376,0.000131002,0,6.56E-05,0,0,0,0,0,0.000393572,0.000327461,6.54E-05
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Janthinobacterium,0,0,6.57E-05,0,0,0,0,6.56E-05,0,0.000917131,0,0.000325648,0,0.000261969,0.000130787
k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Phycisphaerales;f__Unclassified_Phycisphaerales;g__Unclassified_Phycisphaerales,0.00019707,0.000132135,0,0.000331697,0.000393005,0,0,0.000131156,0,0,0.000130976,0,6.56E-05,0.000392953,0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus,0.00019707,0,6.57E-05,0.000132679,0,0,0,0.000983671,0,0,0,0,0,0,6.54E-05
k__Bacteria;p__[Thermi];c__Deinococci;o__Deinococcales;f__Deinococcaceae;g__Deinococcus,0.00026276,0,0,0.000132679,0,0,0,0.000393468,0,0.000196528,0,0,0,0,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Butyrivibrio,0,0.000462474,0,0.000530715,0,0.000197915,0,6.56E-05,0,0,0,0,0,0.000130984,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia,0,0.000198203,0.000131397,0.000729733,0,0,6.56E-05,6.56E-05,0,0,0,0,6.56E-05,0.000130984,0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Brevibacteriaceae;g__Brevibacterium,0,0,0,0.000199018,6.55E-05,0,0,0,0.000131096,0,0.000130976,0,0.000131191,6.55E-05,6.54E-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Propionibacteriaceae;g__Propionibacterium,0.00013138,0.000132135,0,0.000132679,0.000131002,0,0.00019676,0.000131156,6.55E-05,0,0,0.000195389,0,0,0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Kaistobacter,0,0.000132135,6.57E-05,0,0.000458505,0,0,0,0,0,0,0.000130259,0,0,6.54E-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Bogoriellaceae;g__Georgenia,0,0.000198203,0,0.000132679,6.55E-05,0,0,0.001377139,0,0,0,0,0,0,0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Unclassified_Actinomycetales;g__Unclassified_Actinomycetales,0.00013138,0,0,0,0,0,6.56E-05,0,0,0,0,0.000260518,0,0,0.000523149
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__Novispirillum,0,0,0,0,0.000131002,0,0,0,6.55E-05,0.000196528,0.000130976,0,0,0.000458445,0
k__Bacteria;p__Spirochaetes;c__Spirochaetes;o__Spirochaetales;f__Spirochaetaceae;g__Treponema,0,0.000198203,0.000131397,0.000331697,0.000131002,0,0,6.56E-05,0,0,0,0,0,0.000130984,0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Succinivibrionaceae;g__Unclassified_Succinivibrionaceae,6.57E-05,0.000330338,6.57E-05,0.000331697,0.000131002,0.000131944,0,0.000196734,0,0,0,0,0,6.55E-05,0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Xanthobacter,0,0,0,0,0,6.60E-05,0,0,0.000131096,0.000262037,0.000196464,0.000521037,0.000196786,6.55E-05,0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__Unclassified_iii1-15;g__Unclassified_iii1-15,0,0,6.57E-05,0,0.000262003,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__Unclassified_Rhodospirillaceae,0,0,0.000131397,6.63E-05,0,0,0.000131173,0.000131156,0,0.000131019,0,0,0,0,0.000130787
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium,0,0.000132135,6.57E-05,0.000132679,6.55E-05,0,0,0.00032789,0,0,0,0.000716426,0,0,6.54E-05
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Phascolarctobacterium,6.57E-05,0.000132135,0,0.000199018,0,0.000329859,0,0.000459046,0,0,0,6.51E-05,0.000131191,0,6.54E-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Intrasporangiaceae;g__Intrasporangium,0,0,0,0.000331697,0.000196502,0,0,6.56E-05,0,0,0,0,0,0,0
