#Taxonomy,S_JC2,S_MC1,F_LW2,F_JC4,F_MC1,F_JC5,F_MC3,S_MC2,S_MC4,S_MC3,S_LW3,S_JC1,F_MC4,S_JC3,N_F_LW1,F_LW4,S_MC5,S_LW4,F_MC2,F_LW3,F_JC3,S_JC4,S_LW2,F_LW1,F_JC1,S_LW5,F_JC2,F_LW5,S_LW1,F_MC5,S_JC5,Total
d__Eukaryota;k__Metazoa;p__Chordata,1996,2646,365122,2276,3198,2904,2224,1830,2032,2214,32420,2846,2046,2542,24320,23408,2868,37816,1812,228570,2868,2282,140152,126430,2918,77628,2854,309936,38294,1614,3432,1453498
d__Archaea;k__unclassified_d__Archaea;p__Candidatus_Lokiarchaeota,262,190,436,194,144,170,120,210,192,106,434,168,180,92,50,158,558,290,68,142,104,110,158,232,96,262,46,116,302,144,792,6526
d__Eukaryota;k__unclassified_d__Eukaryota;p__Colponemidia,0,0,204,0,0,0,0,0,0,0,34,0,0,0,42,22,0,80,0,156,0,0,76,98,0,94,0,116,16,0,0,938
d__Bacteria;k__unclassified_d__Bacteria;p__Candidatus_Tectomicrobia,780,1060,718,892,1056,2176,686,578,554,590,806,1772,834,968,1128,884,1820,606,922,1416,620,1004,1102,858,1004,550,866,836,712,1610,2680,32088
d__Bacteria;k__unclassified_d__Bacteria;p__candidate_division_NC10,370,338,290,172,452,574,210,122,178,136,394,556,92,316,482,770,520,732,78,554,244,430,700,1032,390,852,186,772,622,322,926,13812
d__Bacteria;k__unclassified_d__Bacteria;p__Gemmatimonadetes,1738,1914,2058,1980,1644,2726,902,1220,2338,1626,2242,2672,1450,2280,530,2082,1704,2290,1706,1464,996,2918,1988,2630,1648,1420,1862,1518,1068,2006,2310,56930
d__Bacteria;k__unclassified_d__Bacteria;p__Candidatus_Magasanikbacteria,742,1338,354,806,748,934,800,778,624,1026,284,1418,776,948,118,666,1372,836,1230,608,686,854,670,846,638,542,768,798,3722,712,2012,28654
d__Bacteria;k__unclassified_d__Bacteria;p__Candidatus_Curtissbacteria,110,90,34,6,120,76,44,118,68,54,52,106,10,46,2,118,36,32,40,36,42,148,50,74,88,14,88,24,46,72,26,1870
d__Bacteria;k__unclassified_d__Bacteria;p__Candidatus_Jorgensenbacteria,94,148,10,28,74,56,48,42,36,38,14,120,42,32,36,34,68,34,46,74,46,76,52,154,64,60,20,18,24,76,64,1728
d__Eukaryota;k__unclassified_d__Eukaryota;p__Xanthophyceae,0,0,50,0,0,0,0,0,0,0,48,0,0,0,2,4,0,10,0,90,0,0,90,6,0,58,0,6,14,0,0,378
